Company Name,Tier,Sub-Industry,Employees,Revenue,Locations,HQ,L&D Team Size,Key Signal,Qualification Summary,Relevant Tech Stack Detected,Competitor Platform,Why Now,News / Press Reference,Website Evidence,Website,Talking Points,Composite Score,FIT,SIGNALS,TIMING,Override,Year Founded,Ownership Type,Last Updated,Data Source Category,ZI_Company_ID,Exclusion Status
Bread Financial,,Banking,7000,$3.8B,4,"Columbus, Ohio",,,,,,,,,,,,,,,,1996,PUBLIC,2026-02-25,ZoomInfo,564680069,Clean
Brecek & Young Advisors,,Investment Banking,1214,$286M,21,"Folsom, California",,,,,,,,,,,,,,,,1992,PRIVATE,2026-02-25,ZoomInfo,369047189,Clean
Bremer Bank,,Banking,1906,$983M,117,"Saint Paul, Minnesota",,,,,,,,,,,,,,,,1943,PRIVATE,2026-02-25,ZoomInfo,5472886,Clean
Brex,,Credit Cards & Transaction Processing,1400,$722M,30,"San Francisco, California",,,,,,,,,,,,,,,,2017,PRIVATE,2026-02-25,ZoomInfo,357878860,Clean
Bridge Investment Group,,,2250,$426M,70,"Sandy, Utah",,,,,,,,,,,,,,,,2009,PRIVATE,2026-02-25,ZoomInfo,25269182,Clean
Bridgewater Associates,,Investment Banking,1206,$622M,52,"Westport, Connecticut",,,,,,,,,,,,,,,,1975,PRIVATE,2026-02-25,ZoomInfo,10078484,Excluded_Name_Match
Bridgewater Associates,,Investment Banking,1886,$100M,1,"Westport, Connecticut",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,1114336423,Excluded_ZI_Match
Brighthouse Financial,,,1400,$5.9B,13,"Charlotte, North Carolina",,,,,,,,,,,,,,,,2016,PUBLIC,2026-02-25,ZoomInfo,401885406,Clean
Brightwater Capital,,Debt Collection,3674,$7M,3,"Maitland, Florida",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,347828309,Clean
Broadview FCU,,Banking,1312,$354M,1,"Albany, New York",,,,,,,,,,,,,,,,2022,PRIVATE,2026-02-25,ZoomInfo,566161622,Clean
Broe Group,,Venture Capital & Private Equity,1185,$192M,6,"Denver, Colorado",,,,,,,,,,,,,,,,1972,PRIVATE,2026-02-25,ZoomInfo,13437042,Clean
Broken Yolk Cafe®franchise,,Investment Banking,1818,$100M,,"San Diego, California",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,432992438,Clean
Broker Solutions,,Banking,1103,$95M,,"Tustin, California",,,,,,,,,,,,,,,,2003,PRIVATE,2026-02-25,ZoomInfo,1191418833,Clean
Brookfield Asset Management,,Investment Banking,2500,$4.8B,4,"New York City, New York",,,,,,,,,,,,,,,,1990,PUBLIC,2026-02-25,ZoomInfo,1308072097,Clean
Brookline Bancorp,,Banking,1000,$345M,11,"Boston, Massachusetts",,,,,,,,,,,,,,,,1871,PUBLIC,2026-02-25,ZoomInfo,17091907,Clean
Brown Brothers Harriman,,Investment Banking,6000,$3.1B,45,"New York City, New York",,,,,,,,,,,,,,,,1818,PRIVATE,2026-02-25,ZoomInfo,18059312,Clean
Byline Bancorp,,Banking,1017,$429M,1,"Chicago, Illinois",,,,,,,,,,,,,,,,2015,PUBLIC,2026-02-25,ZoomInfo,1168928832,Clean
Byline Bank,,Banking,1014,$625M,85,"Chicago, Illinois",,,,,,,,,,,,,,,,1978,PRIVATE,2026-02-25,ZoomInfo,371816029,Clean
Byrider,,Automobile Dealers,1200,$253M,201,"Carmel, Indiana",,,,,,,,,,,,,,,,1989,PRIVATE,2026-02-25,ZoomInfo,18812455,Clean
Cadence Bank,,Banking,5825,$1.9B,129,"Tupelo, Mississippi",,,,,,,,,,,,,,,,1876,PUBLIC,2026-02-25,ZoomInfo,44126705,Clean
Caliber,,Lending & Brokerage,5001,$2.6B,,"Coppell, Texas",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,353818432,Excluded_Name_Match
California Bank & Trust,,Banking,1600,$825M,122,"Salt Lake City, Utah",,,,,,,,,,,,,,,,1952,PRIVATE,2026-02-25,ZoomInfo,19631841,Clean
California State Teachers' Retirement System,,,1270,$264M,25,"West Sacramento, California",,,,,,,,,,,,,,,,1913,PRIVATE,2026-02-25,ZoomInfo,6307971,Clean
Cannae Holdings,,,7317,$430M,3,"Las Vegas, Nevada",,,,,,,,,,,,,,,,2015,PUBLIC,2026-02-25,ZoomInfo,454717830,Clean
CAP COM FCU,,,,,,,,,,,,,,,,,,,,,,,,2026-02-25,ZoomInfo,6684785,Clean
Capital Bank,,Banking,1671,$361M,,"Charlotte, North Carolina",,,,,,,,,,,,,,,,2015,PRIVATE,2026-02-25,ZoomInfo,48880816,Clean
Capital Group,,Investment Banking,9000,$8.0B,227,"Los Angeles, California",,,,,,,,,,,,,,,,1931,PRIVATE,2026-02-25,ZoomInfo,6685117,Clean
Capital III,,Venture Capital & Private Equity,1500,$722M,5,"Hutchinson, Kansas",,,,,,,,,,,,,,,,1982,PRIVATE,2026-02-25,ZoomInfo,398949756,Clean
Capital Title Agency,,,2802,$144M,10,"Wauwatosa, Wisconsin",,,,,,,,,,,,,,,,2006,PRIVATE,2026-02-25,ZoomInfo,24105662,Clean
CAPTRUST,,Investment Banking,1800,$777M,106,"Raleigh, North Carolina",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,21156441,Clean
Cardinal Financial Company,,Lending & Brokerage,3303,$1.7B,225,"Charlotte, North Carolina",,,,,,,,,,,,,,,,1987,PRIVATE,2026-02-25,ZoomInfo,17174105,Clean
Cardtronics,,Credit Cards & Transaction Processing,1300,$710M,,"Houston, Texas",,,,,,,,,,,,,,,,1999,PUBLIC,2026-02-25,ZoomInfo,6751052,Clean
CardWorks,,Credit Cards & Transaction Processing,1214,$626M,7,"Woodbury, New York",,,,,,,,,,,,,,,,1987,PRIVATE,2026-02-25,ZoomInfo,12043277,Clean
Carlotz,,Investment Banking,1350,$259M,1,"Richmond, Virginia",,,,,,,,,,,,,,,,2016,PRIVATE,2026-02-25,ZoomInfo,479242603,Clean
Carlyle,,Investment Banking,2500,$3.0B,42,"Washington, District of Columbia",,,,,,,,,,,,,,,,1987,PUBLIC,2026-02-25,ZoomInfo,17402973,Clean
Carlyle Secured Lending,,Lending & Brokerage,1500,$84M,1,"New York City, New York",,,,,,,,,,,,,,,,,PUBLIC,2026-02-25,ZoomInfo,5000008509,Clean
Carrington Mortgage Services,,Lending & Brokerage,1686,$869M,97,"Anaheim, California",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,354550825,Clean
Cash America International,,,5088,$865M,,"Fort Worth, Texas",,,,,,,,,,,,,,,,1984,PRIVATE,2026-02-25,ZoomInfo,21858484,Clean
Cash App,,Credit Cards & Transaction Processing,4200,$14.7B,19,"Oakland, California",,,,,,,,,,,,,,,,2013,PRIVATE,2026-02-25,ZoomInfo,475592890,Clean
CashCall,,Credit Cards & Transaction Processing,1001,$516M,11,"Orange, California",,,,,,,,,,,,,,,,2003,PRIVATE,2026-02-25,ZoomInfo,13649848,Clean
Cathay Bank,,Banking,1265,$1.4B,88,"Los Angeles, California",,,,,,,,,,,,,,,,1962,PRIVATE,2026-02-25,ZoomInfo,9864915,Clean
Cathay General Bancorp,,Banking,1266,$745M,13,"Los Angeles, California",,,,,,,,,,,,,,,,1962,PUBLIC,2026-02-25,ZoomInfo,1250451134,Clean
CBA Group,,Banking,1305,$232M,,"Westbury, New York",,,,,,,,,,,,,,,,1962,PRIVATE,2026-02-25,ZoomInfo,425322441,Clean
CBCInnovis,,Credit Cards & Transaction Processing,1870,$127M,,"Columbus, Ohio",,,,,,,,,,,,,,,,1948,PRIVATE,2026-02-25,ZoomInfo,27103630,Clean
Cboe,,Lending & Brokerage,1685,$4.7B,4,"Chicago, Illinois",,,,,,,,,,,,,,,,1973,PUBLIC,2026-02-25,ZoomInfo,19859977,Clean
Celebrity Financial,,Investment Banking,1718,$11M,5,"Sherman Oaks, California",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,451768712,Clean
Cenlar FSB,,Banking,1904,$506M,13,"Ewing, New Jersey",,,,,,,,,,,,,,,,1912,PRIVATE,2026-02-25,ZoomInfo,7242575,Excluded_ZI_Match
Centennial Bank,,Banking,2583,$1.5B,199,"Conway, Arkansas",,,,,,,,,,,,,,,,1903,PRIVATE,2026-02-25,ZoomInfo,345351452,Clean
Centier Bank,,Banking,1059,$608M,66,"Merrillville, Indiana",,,,,,,,,,,,,,,,1895,PRIVATE,2026-02-25,ZoomInfo,7274531,Clean
Central Bank,,Banking,2929,$1.1B,155,"Jefferson City, Missouri",,,,,,,,,,,,,,,,2008,PRIVATE,2026-02-25,ZoomInfo,7324222,Clean
Cerberus,,Venture Capital & Private Equity,1000,$4.0B,93,"New York City, New York",,,,,,,,,,,,,,,,1992,PRIVATE,2026-02-25,ZoomInfo,7488017,Clean
Cerity Partners,,Investment Banking,1679,$866M,24,"New York City, New York",,,,,,,,,,,,,,,,2009,PRIVATE,2026-02-25,ZoomInfo,463976553,Clean
Cetera,,Investment Banking,9000,$4.6B,149,"San Diego, California",,,,,,,,,,,,,,,,1984,PRIVATE,2026-02-25,ZoomInfo,354040143,Clean
Cetera Advisor Networks,,Lending & Brokerage,1700,$883M,6,"El Segundo, California",,,,,,,,,,,,,,,,1983,PRIVATE,2026-02-25,ZoomInfo,356112602,Clean
CFO Vietnam,,Investment Banking,2017,$367M,1,"New York City, New York",,,,,,,,,,,,,,,,2008,PRIVATE,2026-02-25,ZoomInfo,430417191,Clean
Charles River Systems,,Financial Software,1250,$319M,12,"Burlington, Massachusetts",,,,,,,,,,,,,,,,1984,PRIVATE,2026-02-25,ZoomInfo,7635814,Clean
Chase Travel Corporate Solutions,,Banking,1500,$773M,1,"New York City, New York",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,5000065783,Clean
Check Into Cash,,Credit Cards & Transaction Processing,4000,$2.1B,1361,"Cleveland, Tennessee",,,,,,,,,,,,,,,,1993,PRIVATE,2026-02-25,ZoomInfo,18240002,Clean
Check N Go,,Banking,2378,$305M,1264,"Cincinnati, Ohio",,,,,,,,,,,,,,,,1994,PRIVATE,2026-02-25,ZoomInfo,29266827,Clean
CheckFree,,Credit Cards & Transaction Processing,1748,$27M,,"Norcross, Georgia",,,,,,,,,,,,,,,,1981,PRIVATE,2026-02-25,ZoomInfo,7717192,Clean
Chemical Bank,,Banking,3364,$631M,,"Midland, Michigan",,,,,,,,,,,,,,,,1987,PRIVATE,2026-02-25,ZoomInfo,1122148447,Clean
Chime,,Credit Cards & Transaction Processing,1465,$2.1B,1,"San Francisco, California",,,,,,,,,,,,,,,,2012,PUBLIC,2026-02-25,ZoomInfo,29989248,Clean
CIBC Bank USA,,Banking,2458,$3.7B,1,"Chicago, Illinois",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,470078521,Clean
CIBC FirstCaribbean International Bank,,Banking,2700,$747M,2,"Kingston, West Virginia",,,,,,,,,,,,,,,,1998,PRIVATE,2026-02-25,ZoomInfo,1103223009,Clean
CION Investments,,Investment Banking,2000,$481M,3,"New York City, New York",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,363286359,Clean
Cisneros Interactive,,Advertising & Marketing,1360,$40M,,"Santa Monica, California",,,,,,,,,,,,,,,,2010,PRIVATE,2026-02-25,ZoomInfo,558040341,Clean
CIT Bank,,Banking,1001,$249M,189,"New York City, New York",,,,,,,,,,,,,,,,1908,PRIVATE,2026-02-25,ZoomInfo,48795984,Clean
Citadel,,Investment Banking,3000,$1.5B,86,"Miami, Florida",,,,,,,,,,,,,,,,1990,PRIVATE,2026-02-25,ZoomInfo,16092218,Clean
Citadel Securities,,Venture Capital & Private Equity,1700,$876M,15,"Miami, Florida",,,,,,,,,,,,,,,,2002,PRIVATE,2026-02-25,ZoomInfo,22923811,Clean
CITIC Ka Wah Bank,,Banking,3059,$628M,,"Alhambra, California",,,,,,,,,,,,,,,,2005,PRIVATE,2026-02-25,ZoomInfo,19401272,Clean
Citizens Business Bank,,Banking,1089,$489M,84,"Ontario, California",,,,,,,,,,,,,,,,1974,PUBLIC,2026-02-25,ZoomInfo,25938796,Clean
City National Bank,,Banking,7862,$5.4B,22,"Los Angeles, California",,,,,,,,,,,,,,,,1954,PRIVATE,2026-02-25,ZoomInfo,23023282,Clean
City National Bank of Florida,,Banking,1134,$1.4B,28,"Miami, Florida",,,,,,,,,,,,,,,,1926,PRIVATE,2026-02-25,ZoomInfo,42160389,Clean
Clarian Federal Credit Union,,Banking,1933,$50M,,"Indianapolis, Indiana",,,,,,,,,,,,,,,,1971,PRIVATE,2026-02-25,ZoomInfo,49517984,Clean
CliftonLarsonAllen,,Banking,9000,$3.9B,226,"Minneapolis, Minnesota",,,,,,,,,,,,,,,,2012,PRIVATE,2026-02-25,ZoomInfo,10570453,Clean
CME Group,,Lending & Brokerage,3760,$6.5B,15,"Chicago, Illinois",,,,,,,,,,,,,,,,1898,PUBLIC,2026-02-25,ZoomInfo,23890847,Clean
CMG Financial,,Lending & Brokerage,3711,$1.9B,298,"San Ramon, California",,,,,,,,,,,,,,,,1993,PRIVATE,2026-02-25,ZoomInfo,20188207,Clean
CMG Home Loans,,Lending & Brokerage,3861,$2.0B,1,"San Ramon, California",,,,,,,,,,,,,,,,1993,PRIVATE,2026-02-25,ZoomInfo,5000050591,Clean
Co-op Solutions,,Banking,3454,$3.6B,,"Rancho Cucamonga, California",,,,,,,,,,,,,,,,1981,PRIVATE,2026-02-25,ZoomInfo,565047480,Clean
CoBank,,Lending & Brokerage,1215,$1.8B,55,"Greenwood Village, Colorado",,,,,,,,,,,,,,,,1916,PRIVATE,2026-02-25,ZoomInfo,7654703,Clean
Coinbase,,Credit Cards & Transaction Processing,4951,$7.2B,14,"New York City, New York",,,,,,,,,,,,,,,,2012,PUBLIC,2026-02-25,ZoomInfo,398692630,Clean
Colonial Investment & Management,,Venture Capital & Private Equity,1903,$2M,3,"Dover, Delaware",,,,,,,,,,,,,,,,1994,PRIVATE,2026-02-25,ZoomInfo,373285775,Clean
Columbia Bank,,Banking,4721,$2.1B,216,"Tacoma, Washington",,,,,,,,,,,,,,,,1993,PRIVATE,2026-02-25,ZoomInfo,8880313,Clean
Columbia Banking System,,Banking,4721,$2.3B,1,"Tacoma, Washington",,,,,,,,,,,,,,,,1953,PUBLIC,2026-02-25,ZoomInfo,566156843,Clean
Columbia Property Trust,,,1281,$254M,28,"New York City, New York",,,,,,,,,,,,,,,,2003,PRIVATE,2026-02-25,ZoomInfo,358512434,Clean
Columbia Threadneedle Investments,,Investment Banking,2500,$1.3B,9,"Boston, Massachusetts",,,,,,,,,,,,,,,,2015,PRIVATE,2026-02-25,ZoomInfo,8896599,Clean
Columbia Threadneedle Investments US,,Investment Banking,2300,$1.2B,40,"Boston, Massachusetts",,,,,,,,,,,,,,,,1929,PRIVATE,2026-02-25,ZoomInfo,1126574461,Clean
Comdata,,Credit Cards & Transaction Processing,1300,$1.1B,51,"Brentwood, Tennessee",,,,,,,,,,,,,,,,1969,PRIVATE,2026-02-25,ZoomInfo,8945735,Clean
Comerica,,Banking,7927,$3.3B,382,"Dallas, Texas",,,,,,,,,,,,,,,,1849,PUBLIC,2026-02-25,ZoomInfo,23284479,Clean
Commerce Bank,,Banking,4693,$2.1B,511,"Kansas City, Missouri",,,,,,,,,,,,,,,,1865,PUBLIC,2026-02-25,ZoomInfo,8978581,Clean
Commonwealth,,Lending & Brokerage,1414,$729M,113,"Waltham, Massachusetts",,,,,,,,,,,,,,,,1979,PRIVATE,2026-02-25,ZoomInfo,28429298,Clean
Community America Credit Union,,Banking,1027,$267M,95,"Lenexa, Kansas",,,,,,,,,,,,,,,,1940,PRIVATE,2026-02-25,ZoomInfo,30512771,Clean
Community Bank,,Banking,2062,$772M,28,"Canton, New York",,,,,,,,,,,,,,,,1983,PRIVATE,2026-02-25,ZoomInfo,18861513,Clean
Community Choice Financial,,Lending & Brokerage,2736,$263M,56,"Dublin, Ohio",,,,,,,,,,,,,,,,1986,PRIVATE,2026-02-25,ZoomInfo,11716505,Clean
Community Financial System,,Banking,2730,$797M,5,"Dewitt, New York",,,,,,,,,,,,,,,,1983,PUBLIC,2026-02-25,ZoomInfo,1335852953,Clean
Community First Fund,,Banking,2108,$57M,,"Lancaster, Pennsylvania",,,,,,,,,,,,,,,,1992,PRIVATE,2026-02-25,ZoomInfo,34311141,Clean
Compass Diversified Holdings,,Venture Capital & Private Equity,3340,$2.3B,10,"Westport, Connecticut",,,,,,,,,,,,,,,,1998,PUBLIC,2026-02-25,ZoomInfo,38524830,Clean
Compeer Financial,,Lending & Brokerage,1500,$861M,66,"Sun Prairie, Wisconsin",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,435487580,Clean
Connecticut District Export Council,,Banking,1047,$64M,1,"Middletown, Connecticut",,,,,,,,,,,,,,,,2009,PRIVATE,2026-02-25,ZoomInfo,398312315,Clean
"Consolidated Restaurant Operations, Inc.",,Restaurants,5705,$369M,12,"Dallas, Texas",,,,,,,,,,,,,,,,1998,PRIVATE,2026-02-25,ZoomInfo,12583910,Clean
Corebridge Financial,,,4800,$18.6B,2,"Houston, Texas",,,,,,,,,,,,,,,,2022,PUBLIC,2026-02-25,ZoomInfo,566134205,Clean
CoreCard,,Financial Software,1000,$61M,1,"Norcross, Georgia",,,,,,,,,,,,,,,,2001,PRIVATE,2026-02-25,ZoomInfo,9585607,Clean
Corient,,Venture Capital & Private Equity,1429,$737M,4,"Miami, Florida",,,,,,,,,,,,,,,,2015,PRIVATE,2026-02-25,ZoomInfo,347795710,Clean
Cornerstone Capital Bank,,Banking,1400,$419M,3,"Houston, Texas",,,,,,,,,,,,,,,,1993,PRIVATE,2026-02-25,ZoomInfo,30265460,Clean
Cornerstone Home Lending,,Lending & Brokerage,2000,$2.2B,102,"Houston, Texas",,,,,,,,,,,,,,,,1988,PRIVATE,2026-02-25,ZoomInfo,30265597,Clean
Cotecna,,Banking,3917,$100M,,,,,,,,,,,,,,,,,,1974,PRIVATE,2026-02-25,ZoomInfo,9000000709,Clean
COUNTRY Financial,,Banking,3000,$5.0B,225,"Bloomington, Illinois",,,,,,,,,,,,,,,,1925,PRIVATE,2026-02-25,ZoomInfo,9765688,Clean
Countrywide Financial,,Banking,2546,$13M,,"Calabasas, California",,,,,,,,,,,,,,,,1969,PRIVATE,2026-02-25,ZoomInfo,57872681,Clean
Cowen,,Investment Banking,1534,$1.5B,92,"New York City, New York",,,,,,,,,,,,,,,,1918,PRIVATE,2026-02-25,ZoomInfo,20451386,Clean
CPI,,Credit Cards & Transaction Processing,3100,$2.0B,28,"Malvern, Pennsylvania",,,,,,,,,,,,,,,,2014,PRIVATE,2026-02-25,ZoomInfo,6947088,Clean
CPI Card Group,,Credit Cards & Transaction Processing,1500,$516M,17,"Littleton, Colorado",,,,,,,,,,,,,,,,2007,PUBLIC,2026-02-25,ZoomInfo,31002967,Clean
Crazy Woman Creek Bancorp,,,,,,,,,,,,,,,,,,,,,,,,2026-02-25,ZoomInfo,14797297,Clean
Creative Planning,,Investment Banking,1500,$576M,109,"Overland Park, Kansas",,,,,,,,,,,,,,,,1983,PRIVATE,2026-02-25,ZoomInfo,13321374,Clean
Credence Global Solutions,,Banking,1065,$159M,1,"Dallas, Texas",,,,,,,,,,,,,,,,2014,PRIVATE,2026-02-25,ZoomInfo,546907981,Clean
Credit Acceptance,,Lending & Brokerage,2431,$2.3B,34,"Southfield, Michigan",,,,,,,,,,,,,,,,1972,PUBLIC,2026-02-25,ZoomInfo,17631006,Clean
Credit One Bank,,Banking,1217,$1.7B,4,"Las Vegas, Nevada",,,,,,,,,,,,,,,,1984,PRIVATE,2026-02-25,ZoomInfo,45075682,Clean
Creekview Capital,,,1669,$356M,3,"Buffalo, New York",,,,,,,,,,,,,,,,2014,PRIVATE,2026-02-25,ZoomInfo,348847863,Clean
CRI Capital Advisors,,Accounting Services,2000,$298M,2,"Enterprise, Alabama",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,346458001,Clean
CRIF Hong Kong,,Credit Cards & Transaction Processing,6600,$363M,,"Atlanta, Georgia",,,,,,,,,,,,,,,,1988,PRIVATE,2026-02-25,ZoomInfo,1226448647,Clean
Cronin,,,2259,$479M,,"Minneapolis, Minnesota",,,,,,,,,,,,,,,,1974,PRIVATE,2026-02-25,ZoomInfo,356065606,Clean
CrossCountry Mortgage,,Lending & Brokerage,7000,$3.6B,402,"Cleveland, Ohio",,,,,,,,,,,,,,,,2003,PRIVATE,2026-02-25,ZoomInfo,30362656,Clean
CUNA Mutual Group,,,4200,$5.2B,,"Madison, Wisconsin",,,,,,,,,,,,,,,,1935,PRIVATE,2026-02-25,ZoomInfo,43142759,Clean
Curo,,Lending & Brokerage,4000,$418M,,"Chicago, Illinois",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,379161009,Excluded_Name_Review
CVW CleanTech,,Venture Capital & Private Equity,1388,$509K,,"San Mateo, California",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,5000027718,Clean
D. E. SHAW,,Investment Banking,2500,$1.2B,27,"New York City, New York",,,,,,,,,,,,,,,,1988,PRIVATE,2026-02-25,ZoomInfo,32002546,Excluded_ZI_Match
D.A. Davidson Companies,,Investment Banking,1500,$662M,129,"Great Falls, Montana",,,,,,,,,,,,,,,,1935,PRIVATE,2026-02-25,ZoomInfo,32707619,Clean
DAIKEN,,Venture Capital & Private Equity,1865,$124M,1,"Ferndale, Michigan",,,,,,,,,,,,,,,,2005,PRIVATE,2026-02-25,ZoomInfo,465839022,Clean
Danya Cebus,,,,,,,,,,,,,,,,,,,,,,,,2026-02-25,ZoomInfo,425716888,Clean
Day,,Investment Banking,1571,$340M,1,,,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,354761182,Clean
Dcc Global,,Credit Cards & Transaction Processing,1048,$9M,3,"Atlanta, Georgia",,,,,,,,,,,,,,,,2013,PRIVATE,2026-02-25,ZoomInfo,372812530,Clean
Deejay Banks,,,4065,$100M,1,"Columbus, Ohio",,,,,,,,,,,,,,,,2012,PRIVATE,2026-02-25,ZoomInfo,536262301,Clean
Delage Landen Financial Svc,,,3064,$1.0B,,"Marietta, Georgia",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,371685036,Clean
Delta Community Credit Union,,Banking,1349,$241M,43,"Atlanta, Georgia",,,,,,,,,,,,,,,,1940,PRIVATE,2026-02-25,ZoomInfo,398043358,Clean
Dependable Doc Prep,,Banking,1853,$102M,3,"Johnson City, Tennessee",,,,,,,,,,,,,,,,2005,PRIVATE,2026-02-25,ZoomInfo,358964167,Clean
Depository Trust Clearing,,Lending & Brokerage,8747,$2M,,,,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,346800721,Clean
Desert Financial Federal Credit Union,,Banking,1204,$621M,54,"Phoenix, Arizona",,,,,,,,,,,,,,,,1939,PRIVATE,2026-02-25,ZoomInfo,439533163,Clean
DHI MORTGAGE,,Lending & Brokerage,2100,$854M,15,"Austin, Texas",,,,,,,,,,,,,,,,1998,PRIVATE,2026-02-25,ZoomInfo,15648629,Clean
Digital Federal Credit Union,,Banking,1653,$192M,38,"Marlborough, Massachusetts",,,,,,,,,,,,,,,,1970,PRIVATE,2026-02-25,ZoomInfo,23498324,Clean
Digital Risk,,Lending & Brokerage,1396,$281M,1,"Jacksonville, Florida",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,44960762,Clean
Dimensional,,Investment Banking,1500,$736M,45,"Austin, Texas",,,,,,,,,,,,,,,,1981,PRIVATE,2026-02-25,ZoomInfo,11354527,Clean
Directional Aviation,,Venture Capital & Private Equity,5000,$4.0B,3,"Cleveland, Ohio",,,,,,,,,,,,,,,,1981,PRIVATE,2026-02-25,ZoomInfo,354050759,Clean
Discover Global Network,,Credit Cards & Transaction Processing,4000,$2.1B,1,"Riverwoods, Illinois",,,,,,,,,,,,,,,,2008,PRIVATE,2026-02-25,ZoomInfo,462519169,Clean
DJSP Enterprises,,Lending & Brokerage,1394,$271M,,"Plantation, Florida",,,,,,,,,,,,,,,,1994,PRIVATE,2026-02-25,ZoomInfo,345500357,Clean
DolEx,,Credit Cards & Transaction Processing,2531,$771M,374,"Arlington, Texas",,,,,,,,,,,,,,,,1996,PRIVATE,2026-02-25,ZoomInfo,347090872,Clean
Dollar Bank,,Banking,1513,$592M,85,"Pittsburgh, Pennsylvania",,,,,,,,,,,,,,,,1855,PRIVATE,2026-02-25,ZoomInfo,29330410,Clean
DoodyCalls Franchising,,Investment Banking,1736,$526M,,"Mount Pleasant, South Carolina",,,,,,,,,,,,,,,,,PRIVATE,2026-02-25,ZoomInfo,9000011605,Clean
"Dovenmuehle Mortgage, Inc.",,Lending & Brokerage,2090,$1.1B,11,"Lake Zurich, Illinois",,,,,,,,,,,,,,,,1844,PRIVATE,2026-02-25,ZoomInfo,15680883,Clean
DRW Holdings,,Investment Banking,2000,$1.0B,116,"Chicago, Illinois",,,,,,,,,,,,,,,,1992,PRIVATE,2026-02-25,ZoomInfo,11878441,Excluded_ZI_Match
DTCC,,Credit Cards & Transaction Processing,6554,$2.2B,39,"Jersey City, New Jersey",,,,,,,,,,,,,,,,1973,PRIVATE,2026-02-25,ZoomInfo,32738723,Clean
Duff & Phelps,,,4134,$2.6B,,"New York City, New York",,,,,,,,,,,,,,,,1932,PRIVATE,2026-02-25,ZoomInfo,480471080,Clean
E*TRADE,,Banking,1299,$9.7B,129,"Purchase, New York",,,,,,,,,,,,,,,,1982,PRIVATE,2026-02-25,ZoomInfo,13370133,Clean
E+Co,,"Electricity, Oil & Gas",2263,$554M,,"Arlington, Virginia",,,,,,,,,,,,,,,,1994,PRIVATE,2026-02-25,ZoomInfo,352289706,Clean
E-LOAN,,Lending & Brokerage,1194,$199M,18,"San Juan, Puerto Rico",,,,,,,,,,,,,,,,1997,PRIVATE,2026-02-25,ZoomInfo,35542534,Clean
Eagle Home Mortgage,,Lending & Brokerage,2205,$100M,,"Costa Mesa, California",,,,,,,,,,,,,,,,2005,PRIVATE,2026-02-25,ZoomInfo,534836756,Clean
Eagle Strategies,,Venture Capital & Private Equity,1289,$654M,141,"New York City, New York",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,33753810,Clean
Early Warning,,Credit Cards & Transaction Processing,1100,$459M,10,"Scottsdale, Arizona",,,,,,,,,,,,,,,,2007,PRIVATE,2026-02-25,ZoomInfo,77728180,Clean
East West Bank,,,3100,$2.9B,33,"Pasadena, California",,,,,,,,,,,,,,,,1998,PUBLIC,2026-02-25,ZoomInfo,42963083,Clean
Eastern Bank,,Banking,1998,$651M,143,"Boston, Massachusetts",,,,,,,,,,,,,,,,1818,PUBLIC,2026-02-25,ZoomInfo,12222948,Clean
Eastman Credit Union,,Banking,1161,$536M,38,"Kingsport, Tennessee",,,,,,,,,,,,,,,,1934,PRIVATE,2026-02-25,ZoomInfo,565804437,Clean
Eaton Vance,,Investment Banking,1680,$825M,19,"Irving, Texas",,,,,,,,,,,,,,,,1924,PRIVATE,2026-02-25,ZoomInfo,41078013,Clean
ED&F Man Capital Markets,,Lending & Brokerage,3491,$2.4B,,"New York City, New York",,,,,,,,,,,,,,,,1976,PRIVATE,2026-02-25,ZoomInfo,347473389,Clean
Edelman Financial Engines,,Venture Capital & Private Equity,1525,$786M,186,"Santa Clara, California",,,,,,,,,,,,,,,,1986,PRIVATE,2026-02-25,ZoomInfo,24200850,Clean
